8       27.0646167725
16      50.4925832006
24      69.1614747532
32      85.760024394
40      100.241414741
48      111.391308384
56      120.407378297
64      133.331358054
72      139.924829272
80      150.378452439
88      156.992032654
96      150.772710139
104     140.482870846
112     130.848662618
120     122.330809694


8       903.6
16      910.5
24      910.52
32      911.8
40      914.34
48      914.11
56      915.84
64      916.08
72      916.48
80      916.32
88      918.24
96      911.25
104     901.05
112     888.69
120     882.93



8       104.82
16      111.28
24      115.34
32      118.27
40      121.55
48      124.21
56      127.35
64      129.27
72      133.78
80      134.22
88      139.12
96      151.06
104     171.96
112     182.8
120     189.99


8       55.7978
16      119.032
24      223.451
32      313.393
40      400.722
48      513.08
56      631.186
64      682.766
72      802.22
80      864.707
88      960.759
96      1229.96
104     1592.28
112     2010.15
120     2464.71

