8       27.6716603765
16      48.1695568401
24      67.8495097873
32      76.9299808957
40      85.1520792482
48      97.6260596495
56      107.209224758
64      113.586884501
72      115.844652321
80      129.488950276
88      136.691904042
96      143.537235951
104     148.911087671
112     156.404775559
120     145.907300229


8       884.7
16      889.85
24      905.93
32      916.61
40      933.9
48      932.87
56      945.41
64      944.41
72      960.41
80      945.45
88      954.08
96      949.19
104     958.87
112     941.4
120     980.07



8       93.32
16      101.11
24      107.46
32      116.04
40      126.54
48      127.02
56      131.35
64      137.19
72      144.9
80      142.73
88      145.32
96      146.83
104     149.27
112     144.55
120     169.14


8       62.8753
16      204.946
24      260.096
32      465.035
40      630.873
48      710.39
56      803.978
64      947.063
72      1132.44
80      1136.16
88      1218.46
96      1311.95
104     1406.35
112     1492.18
120     1820.12

