8       27.7204546155
16      50.3988509062
24      70.1873417129
32      88.5519541694
40      101.894963275
48      113.84515162
56      124.038700074
64      135.183342408
72      143.020594966
80      153.678027457
88      159.148379339
96      161.570464919
104     166.047831
112     165.284702901
120     168.638013819


8       896.54
16      905.35
24      905.59
32      903.98
40      908.47
48      907.38
56      907.29
64      906.81
72      911.5
80      911.31
88      910.05
96      910.84
104     911.52
112     910.2
120     913.41


8       92.78
16      96.3
24      98.33
32      99.93
40      104.21
48      104.56
56      107.55
64      109.86
72      112.5
80      112.36
88      115.12
96      116.75
104     121.31
112     128.88
120     131.8


8       49.6856
16      141.353
24      227.142
32      297.132
40      400.599
48      506.011
56      610.587
64      687.75
72      788.408
80      850.445
88      965.492
96      1111.51
104     1222.05
112     1400.5
120     1521.41

