1	4.56167383018
8	30.1056205521
16	55.7028931464
24	78.2219286486
32	99.0137133993
40	111.76965516
48	129.283410784
56	142.946200609
64	153.762044694
72	166.295581157
80	175.956519189


1	722.33
8	828.54
16	821.63
24	822.97
32	833.8
40	842.56
48	842.86
56	838.7
64	839.81
72	847.9
80	853.38


1	66.85
8	81.86
16	82.19
24	84.3
32	86.07
40	87.33
48	88.26
56	88.9
64	90.07
72	90.46
80	89.98


1	0.014139
8	46.2823
16	130.358
24	197.32
32	243.644
40	358.503
48	405.518
56	482.75
64	568.592
72	620.351
80	693.464


