1	4.43380331648
8	12.9013299121
16	8.10549755372
24	7.46516257465
32	7.34505004835
40	7.26153424116
48	7.2668697353
56	7.17030061485
64	7.14152519173
72	7.14591967986
80	7.16569067306


1	738.33
8	885.27
16	1020.39
24	1059.21
32	1086.66
40	1102.3
48	1112.09
56	1135.92
64	1142.61
72	1147.08
80	1148.73


1	73.61
8	149.07
16	218.01
24	223.27
32	225.03
40	236.12
48	232.36
56	238.4
64	250.65
72	239.76
80	238.97


1	0.05399
8	1198.63
16	5886.5
24	10302.35
32	14378.54
40	18506.25
48	22443.34
56	26749.83
64	30884.94
72	34892.45
80	38809.44


