1       4.33437278014
8       29.1337563123
16      53.0751130795
24      69.0901972525
32      81.8187396732
40      90.69883452
48      93.3675335151
56      98.5127314023
64      102.420247345
72      123.379360689
80      108.052945944


1       756.18
8       841.0
16      837.48
24      864.26
32      864.42
40      870.55
48      872.49
56      871.5
64      871.27
72      870.48
80      871.53


1       74.38
8       90.16
16      96.64
24      101.06
32      103.18
40      105.75
48      109.22
56      110.13
64      110.69
72      108.56
80      113.15


1       0.509767
8       58.2438
16      151.975
24      286.179
32      441.399
40      611.921
48      869.541
56      1065.22
64      1267.74
72      1122.08
80      1683.06

