8       28.3992300653
16      51.307851384
24      71.2323996613
32      89.5217301566
40      104.073313868
48      116.772031801
56      127.58582805
64      137.763185085
72      150.299973698
80      156.503366996
88      168.603262473
96      171.85657614
104     175.746924429
112     182.283095775
120     185.677076618


8       890.34
16      898.68
24      898.96
32      899.74
40      902.07
48      901.02
56      901.7
64      903.27
72      904.99
80      904.52
88      905.37
96      905.41
104     904.67
112     904.51
120     904.31


8       85.11
16      88.57
24      91.33
32      92.84
40      94.75
48      96.31
56      98.54
64      97.64
72      99.09
80      100.89
88      101.31
96      102.79
104     106.09
112     105.57
120     111.17


8       38.7438
16      135.435
24      222.682
32      294.337
40      386.879
48      482.537
56      580.003
64      671.617
72      720.588
80      834.907
88      872.389
96      1002.89
104     1119.68
112     1202.01
120     1312.91

