8       19.1203573382
16      34.8691921002
24      43.0945734355
32      46.286058125
40      36.6034443841
48      29.4023962953
56      27.3195015709
64      26.4344352577
72      26.1229228648
80      25.2079657172
88      25.140015922
96      24.378517109
104     24.2946126696
112     24.2504260665
120     24.198915082


8       867.4
16      898.82
24      928.95
32      968.94
40      997.25
48      1032.02
56      1033.7
64      1054.56
72      1063.03
80      1085.11
88      1095.24
96      1124.12
104     1133.08
112     1152.26
120     1161.88


8       124.62
16      140.95
24      153.9
32      173.94
40      201.01
48      231.83
56      239.83
64      247.25
72      251.48
80      268.22
88      265.55
96      272.63
104     275.95
112     283.27
120     285.06


8       514.587
16      612.341
24      922.263
32      1346.3
40      2736.07
48      4613.55
56      6106.21
64      7414.78
72      8608.52
80      10072.04
88      11241.18
96      12780.11
104     14002.31
112     15191.43
120     16412.93



